Timestamp,X,Y,Z
20250207150930,202365,-0.160156,-0.225586,0.965088
20250207150931,203369,-0.162720,-0.222534,0.967041
20250207150932,204373,-0.160034,-0.230469,0.964111
20250207150933,205378,-0.157959,-0.231201,0.964966
20250207150934,206385,-0.161621,-0.228027,0.965088
20250207150935,207390,-0.163574,-0.232422,0.964478
20250207150936,208395,-0.160767,-0.227539,0.966553
20250207150937,209399,-0.158813,-0.230713,0.965088
20250207150938,210405,-0.156006,-0.225708,0.966919
20250207150939,211410,-0.161743,-0.233398,0.963745
20250207150940,212414,-0.160278,-0.234253,0.964600
20250207150941,213418,-0.158325,-0.231812,0.965698
20250207150942,214423,-0.166870,-0.223999,0.965454
20250207150943,215429,-0.152466,-0.238403,0.964478
20250207150944,216434,-0.161865,-0.221313,0.965698
20250207150945,217440,-0.157349,-0.232300,0.965210
20250207150946,218444,-0.151855,-0.240601,0.962769
20250207150947,219450,-0.157837,-0.232544,0.965332
20250207150948,220455,-0.149048,-0.247803,0.961426
20250207150949,221461,-0.157593,-0.236572,0.963867
20250207150950,222464,-0.159668,-0.232178,0.964111
20250207150951,223469,-0.157471,-0.236694,0.964111
20250207150952,224474,-0.158936,-0.231934,0.965332
20250207150953,225481,-0.160400,-0.229126,0.965820
20250207150954,226486,-0.160522,-0.231079,0.963745
20250207150955,227492,-0.158936,-0.231812,0.963867
20250207150956,228497,-0.160156,-0.232544,0.965454
20250207150957,229502,-0.160034,-0.231567,0.964355
20250207150958,230506,-0.160767,-0.226929,0.963745
20250207150959,231512,-0.161011,-0.228271,0.964722
20250207151000,232517,-0.154297,-0.240967,0.962280
20250207151001,233520,-0.163574,-0.229370,0.963257
20250207151002,234526,-0.161255,-0.231934,0.964600
20250207151003,235531,-0.154175,-0.238037,0.965088
20250207151004,236538,-0.162720,-0.230469,0.963623
20250207151005,237544,-0.158325,-0.235962,0.963745
20250207151006,238549,-0.159790,-0.231201,0.964111
20250207151007,239554,-0.158203,-0.231201,0.964844
20250207151008,240559,-0.159912,-0.231812,0.964722
20250207151009,241564,-0.160400,-0.232544,0.964844
20250207151010,242570,-0.160889,-0.230835,0.964355
20250207151011,243575,-0.156250,-0.238647,0.963989
20250207151012,244580,-0.159668,-0.231201,0.964233
20250207151013,245584,-0.158936,-0.233154,0.964966
20250207151014,246589,-0.157593,-0.234619,0.962402
20250207151015,247594,-0.157837,-0.234741,0.963135
20250207151017,248599,-0.157104,-0.235718,0.965088
20250207151018,249604,-0.159912,-0.231201,0.963989
20250207151019,250610,-0.160400,-0.230591,0.965698
20250207151020,251613,-0.160400,-0.230835,0.964722
20250207151021,252619,-0.161011,-0.230713,0.965088
20250207151022,253626,-0.160522,-0.231689,0.964478
20250207151023,254633,-0.162964,-0.227539,0.964600
20250207151024,255638,-0.160034,-0.231934,0.964355
20250207151025,256644,-0.163330,-0.229248,0.965332
20250207151026,257648,-0.161255,-0.228638,0.965088
20250207151027,258653,-0.159912,-0.232422,0.964111
20250207151028,259658,-0.161621,-0.230347,0.964722
20250207151029,260663,-0.160767,-0.230225,0.964600
20250207151030,261668,-0.159302,-0.230469,0.964844
20250207151031,262672,-0.159668,-0.233643,0.964966
20250207151032,263676,-0.161987,-0.229248,0.964966
